PR,URL,Title,Content type,Is rendered page,HTTP status code,Crawl datetime,Depth,Loading time (ms),Size (bytes),No. of href inlinks,No. of internal outlinks
0,https://aiworkshop.ch/it/learn-ai-overview/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:47,0,259,3808,0,7
0,https://aiworkshop.ch/de/learn-ai-overview/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:45,0,257,3808,0,7
0,https://aiworkshop.ch/en/learn-ai-overview/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:44,0,258,3808,0,7
0,https://aiworkshop.ch/fr/learn-ai-overview/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:43,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:43,0,266,3808,0,7
0,https://aiworkshop.ch/de/learn/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:37,0,261,3808,0,7
0,https://aiworkshop.ch/fr/learn/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:35,0,258,3808,0,7
0,https://aiworkshop.ch/en/learn/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:33,0,258,3808,0,7
0,https://aiworkshop.ch/it/coaching/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:31,0,260,3808,0,7
0,https://aiworkshop.ch/de/coaching/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:30,0,275,3808,0,7
0,https://aiworkshop.ch/fr/coaching/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:27,0,262,3808,0,7
5,https://aiworkshop.ch/en/coaching/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:25,0,258,3808,101,6
0,https://aiworkshop.ch/it/contact/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:23,0,260,3808,0,7
0,https://aiworkshop.ch/de/contact/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:21,0,258,3808,0,7
0,https://aiworkshop.ch/fr/contact/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:19,0,257,3808,0,7
5,https://aiworkshop.ch/en/contact/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:17,0,257,3808,101,6
0,https://aiworkshop.ch/it/about/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:15,0,256,3808,0,7
0,https://aiworkshop.ch/de/about/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:13,0,257,3808,0,7
0,https://aiworkshop.ch/fr/about/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:11,0,259,3808,0,7
5,https://aiworkshop.ch/en/about/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:09,0,257,3808,101,6
5,https://aiworkshop.ch/it/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:07,0,257,3808,0,7
5,https://aiworkshop.ch/de/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:05,0,258,3808,0,7
40,https://aiworkshop.ch/en/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:04,0,257,3808,101,6
5,https://aiworkshop.ch/fr/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:03,0,258,3808,0,7
0,http://www.aiworkshop.ch/,,text/html,false,301,2025-09-12 09:57:59,0,177,162,0,0
0,https://www.aiworkshop.ch/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:57:57,0,257,3808,0,7
30,http://aiworkshop.ch/,,text/html,false,301,2025-09-12 09:57:55,0,170,162,0,0
30,https://aiworkshop.ch/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:57:54,0,259,3808,0,7
0,https://aiworkshop.ch/sitemap.xml,,text/xml,false,200,2025-09-12 09:57:41,,257,2314,0,0
0,https://www.aiworkshop.ch/robots.txt,,text/plain,false,200,2025-09-12 09:57:34,,262,635,0,0
0,https://aiworkshop.ch/robots.txt,,text/plain,false,200,2025-09-12 09:57:30,,259,635,0,0
